,score
2004-02-15 20:32:39,1.0407309162003116
2004-02-15 20:42:39,1.0710775413611235
2004-02-15 20:52:39,1.0668734274123408
2004-02-15 21:02:39,1.6238332913271976
2004-02-15 21:12:39,1.062054346857279
2004-02-15 21:22:39,1.0967921707765131
2004-02-15 21:32:39,1.026355897335827
2004-02-15 21:42:39,1.1184174324230043
2004-02-15 21:52:39,1.1464298906180717
2004-02-15 22:02:39,1.0720929771955243
2004-02-15 22:12:39,1.085580270839167
2004-02-15 22:22:39,1.0732975357732946
2004-02-15 22:32:39,1.3700349162039818
2004-02-15 22:42:39,1.038540774006474
2004-02-15 22:52:39,1.213751364593045
2004-02-15 23:02:39,1.183770366658533
2004-02-15 23:12:39,1.3944582888844184
2004-02-15 23:22:39,0.9491602999756349
2004-02-15 23:32:39,0.9926798081938063
2004-02-15 23:42:39,1.451466046737442
2004-02-15 23:52:39,2.300045304567786
2004-02-16 00:02:39,1.007717539596737
2004-02-16 00:12:39,1.392826660776658
2004-02-16 00:22:39,1.0430273947490505
2004-02-16 00:32:39,1.330673985848022
2004-02-16 00:42:39,1.0283151130606156
2004-02-16 00:52:39,1.0319734092594657
2004-02-16 01:02:39,1.0423974006518484
2004-02-16 01:12:39,1.1506339749007832
2004-02-16 01:22:39,1.0949614102817389
2004-02-16 01:32:39,1.1096966213881037
2004-02-16 01:42:39,1.5346566090222515
2004-02-16 01:52:39,1.5365599839542965
2004-02-16 02:02:39,1.9203539349984944
2004-02-16 02:12:39,1.0352455677235441
2004-02-16 02:22:39,1.1449916950850507
2004-02-16 02:32:39,0.9981800928910369
2004-02-16 02:42:39,1.6521162004788923
2004-02-16 02:52:39,1.5590594600787322
2004-02-16 03:02:39,0.9572049690197009
2004-02-16 03:12:39,2.713528458644397
2004-02-16 03:22:39,4.121805909966548
2004-02-16 03:32:39,5.640703320071384
2004-02-16 03:42:39,4.835233240840163
2004-02-16 03:52:39,4.250510666730919
2004-02-16 04:02:39,5.652670135827462
2004-02-16 04:12:39,5.172508371703932
2004-02-16 04:22:39,4.59186807201788
