,score
2004-02-15 20:32:39,0.4990281662530447
2004-02-15 20:42:39,0.4825506352475424
2004-02-15 20:52:39,0.5742317770231324
2004-02-15 21:02:39,0.5256219457744659
2004-02-15 21:12:39,0.4675345507310016
2004-02-15 21:22:39,0.4805427130433189
2004-02-15 21:32:39,0.4110097931943451
2004-02-15 21:42:39,0.5113582209156777
2004-02-15 21:52:39,0.5738235859207181
2004-02-15 22:02:39,0.4463994817490296
2004-02-15 22:12:39,0.45820243147116674
2004-02-15 22:22:39,0.39741296408766186
2004-02-15 22:32:39,0.5322133448373413
2004-02-15 22:42:39,0.4019821384068879
2004-02-15 22:52:39,0.49322829616393626
2004-02-15 23:02:39,0.4979615809489027
2004-02-15 23:12:39,0.5314113236900673
2004-02-15 23:22:39,0.41510105904272065
2004-02-15 23:32:39,0.4103535477791657
2004-02-15 23:42:39,0.5128059901002808
2004-02-15 23:52:39,0.560171201853268
2004-02-16 00:02:39,0.4058115549890134
2004-02-16 00:12:39,0.5256199755469638
2004-02-16 00:22:39,0.4200735196101822
2004-02-16 00:32:39,0.5043343776582212
2004-02-16 00:42:39,0.4000171937915929
2004-02-16 00:52:39,0.5213761489680415
2004-02-16 01:02:39,0.46395517906581285
2004-02-16 01:12:39,0.472813474832716
2004-02-16 01:22:39,0.5037279421132829
2004-02-16 01:32:39,0.47842227862232656
2004-02-16 01:42:39,0.5698500377134582
2004-02-16 01:52:39,0.5516395606622214
2004-02-16 02:02:39,0.598814088138031
2004-02-16 02:12:39,0.43741741334250966
2004-02-16 02:22:39,0.49967382215876877
2004-02-16 02:32:39,0.4146397029683136
2004-02-16 02:42:39,0.5371183053476728
2004-02-16 02:52:39,0.5501287448014054
2004-02-16 03:02:39,0.45580138594461495
2004-02-16 03:12:39,0.5829579300337718
2004-02-16 03:22:39,0.5667686486433017
2004-02-16 03:32:39,0.5856798054535348
2004-02-16 03:42:39,0.6391546968296195
2004-02-16 03:52:39,0.5932248877558642
2004-02-16 04:02:39,0.6049406848218609
2004-02-16 04:12:39,0.6423230903506864
2004-02-16 04:22:39,0.6444641050343901
2004-02-16 04:32:39,0.5733929602592985
2004-02-16 04:42:39,0.5782477611144151
2004-02-16 04:52:39,0.5753457519600952
2004-02-16 05:02:39,0.586012000285128
2004-02-16 05:12:39,0.5877689470704727
2004-02-16 05:22:39,0.6079532553789807
2004-02-16 05:32:39,0.6126869362892549
2004-02-16 05:42:39,0.56934772006366
2004-02-16 05:52:39,0.5762040855714909
2004-02-16 06:02:39,0.5589724492482706
2004-02-16 06:12:39,0.6529405809391631
2004-02-16 06:22:39,0.5797622167798767
2004-02-16 06:32:39,0.665294947159016
2004-02-16 06:42:39,0.5658093960250434
2004-02-16 06:52:39,0.5571979526933933
2004-02-16 07:02:39,0.6155856456487008
2004-02-16 07:12:39,0.6242337239942222
2004-02-16 07:22:39,0.6075273777256186
2004-02-16 07:32:39,0.6610937239710553
2004-02-16 07:42:39,0.5654027887188613
2004-02-16 07:52:39,0.602492965040407
2004-02-16 08:02:39,0.5764391675825259
2004-02-16 08:12:39,0.6024179844242625
2004-02-16 08:22:39,0.5930389604091522
2004-02-16 08:32:39,0.580459189622595
2004-02-16 08:42:39,0.5710660441200555
2004-02-16 08:52:39,0.6168958887552501
2004-02-16 09:02:39,0.599986644514919
2004-02-16 09:12:39,0.641966616716568
2004-02-16 09:22:39,0.5830804168619389
2004-02-16 09:32:39,0.5594096101904146
2004-02-16 09:42:39,0.5552410436667079
